cluster,cell_markers,broad_marker,marker,cell_type
0,"IL7R, CCR7, CD4",CD3,IL7R,Naïve T-cells
1,"CCL5, GZMA, GZMK, IL32, CD8","CD3, CD8",CCL5,Cytotoxic T-cells
2,"GNLY, NKG7, GZMB, PRF1, KLRD1",NCR1,PRF1,Cytotoxic NK cells
3,"IGHD, CD79A, CD19, BANK1",CD19,FCER2,B-cells
4,"CCL5, IFNG, GZMK, TNF, CD8, CD69","CD3, CD8",IFNG,Activated T-cells
5,CD44,CD2,CD44,T-cells
6,"FOXP3, CTLA4, IL2RA","CD3, CD4",FOXP3,Tregs
7,"FCER1G, AREG, KLRB1, NKG7, NCAM1",NCR1,AREG,NK cells
8,"TNFRSF17, SDC1, IgG",TNFRSF17,IGHG1,Plasma Cell
9,"C1QA, APOE, LYZ, HLA-DRA",CD3,,Unassigned 1
10,"CD69, HSP",CD3,CD69,Activated T-cells
11,"JCHAIN, CD79A, IgM",TNFRSF17,IGHM,Plasma Cell
12,"TNFRSF17, JCHAIN, IGHA2",TNFRSF17,IGHA1,Plasma Cell
13,"CPB1, KRT19, TFF3, CLDN4",CD3,,Unassigned 2
14,"OAS3, IRF7, IFIT1, IFIT2 , ISG15",CD3,IFIT1,T-cells
15,"CD79A, BANK1",CD19,TNFRSF13B,B cells
16,"CXCL13, TIGIT, TOX, PDCD1, POU3F1","CD3, CD4",TIGIT,T follicular helper cells
17,"IGHG2, JCHAIN, TNFRSF17, IgG",TNFRSF17,IGLC2,Plasma Cell
18,"TPSB2, CPA3, TPSAB1",CD3,,Unassigned 3
19,"TPSB2, CPA3, TPSAB1, MS4A2,  KIT",TNFRSF17,,Unassigned 4